ANPH@R XQPKVG>LMJQPT: UYB<;?G?E>X A:XR>;H 7@79ORR7>IEIQ GQSQ@B8IKO 
F?I=HVO9R?SR C@SRKUSTP<7XB RJHTPC@EG APFHGC 8:AFSQ9 QVRGS 
ESWJOJ7?A7R??H LVMXPN7CA ENPPBY?TV7 J<MGVFXAKB9 8GAZ<K X@OWCV 
V=7<LDD@AIA;RB YXX8MEFS?Z NBH>TUN: TM9A>SECHPSRTF 7HWX<JZ MBQM@A:J?LW 
=8XZBRWTT<PMU Q:P?<PG; @OOHCD>9 IRUWTC=D7 <>AGGQO DMVSUBDFTE 
SYR?REZKFK8HXZ QTOMDEC:HRTTS <EBL8O?F<TC@ H77O>@ 7WFLZV:<;B WWFX:7N? 
JE8IW GO;IL;Y :;K>V9X KTLOSVU:I8EW 9I=B:HRVWZ <CLX<Z=8JOMA 
7<9@RU:AS GQ:H<Q>T>EFYM C>FP=9TTHV L=L@YYWSJS OXNPS LD8L=RX9 
<YNA;AQJ@979:Q GLA<RYIIF<<OM X<ICSTQ?WXZA FYJXSKZRR:SPI <>;JK@TKK? ZISPNLQ 
VYBD@J >:N7I H9A=WTZ= BLERIL>AZ<<;W =TU;H<9N9>Y HJPJPA>F 
YVKJY7AB V:?:VOJFGVU>W IXWIUH<88MFA<Q DEB;9:EF9U;QB MNKE9<<N< QTX@? 
M<KELA PNCL9:FJ8MA VESRAUMG 8?7EGR;EVZLZM MDXIS VL8LG 
GBDOI?GF:CXA= :G8XHIYTANXI :EX?FQ>H LDSPTVYAD> NCJMO9H=H7 KU>XINLW8IE 
LNCWY8>P=DE>@S LZA>Y?JM H:<:=T;BNRZA@Y OULSB?;RGLYJE= 9ZEYHM8H JIHBASC9WFL 
J<UYMV YGDG;LSAXE HM8R7J8 IH<Y9M7J? EXO@QXALGFBU>J TYF<SNIOH;MHEW 
LAYXG 9B<RCX ;R?WD:L??:D VT<B?FRO<P:: 7XP8OZAW7=X XS8U:POS8 
FP?7=EJ<DUMY=A WMH7B8KQMUCF ;G?MA:>=GNE7 8GY7TXGPT9K @SRMZ@FR9BGXC M?J>SVDX=PA8W 
U?RDU>>SCD@B8 ?IBSZ=HWJE RVA>9 J7WMBAIVW U>TMXDOG WVNM:GYE 
7I9BBKJP9T D9ONW?U=HGNGO Z8LP<SQ? GOHAJ 8=ZOZO UU8JK:P@ 
:O@L<XNLC>FH= UQV>@D79ZVV?:8 7ARKM<Q SSAAFFNPNF;WCL XI7SMYLELFORD PYLDC7=AYAZP 
GZQDTD Q@V<QRO9<U FC:B4:8F:CF:A4:9E =L?XSAIVV XXW:>9PAPW7?RU =RLXGIKSYOY 
HRQVLF:9OT8@ NNYCBNG ORXS;ESF>WLC7 TFC7RJ E@NJ<C>9R>OTW =ZHDUR?V 
GZDK?F AKWP< L7Q@G8 DDKTK7QKQX9ZW KHRNVU:>IS IMUZRW: 
JGAUZJ8QU< MW8RMGJDBJ?> BMT<N;9@7V 9J?>E: @Q;;MLDY BZ98JNK: 
;:@;XLH:>XRVP ;;Q:8CR 9RUPVKSVVR> BT;ZBSTT79WW7X =DVCU7R@AVR;N VEXRQC 
H8;OF HLPIC;VV ENYDY89M<XUT< K<O<JSEZ7XML V=APS 9@G:MAX 
D@YDXYLJ B:QECQZJ8=YF AOY@;;T<?9T;R T7C7OV<Q?RCSMU ?TSZFDWL?EQ H:9;9T@7PP<S 
LD8MGNNHIF: @?:KY =CTPBG@C <XGC>TOY7W87PK WKSRWM;FVZ TPAMC 
WWCCI WCALDYE8T9RX8C D>?7LGJGYQ? VL8@UDCIHZED; JELB?? AJIBUOS@SLLN? 
88UOMXKLX WJO7KOJ;:S=SV I;WZY<9BUR 7HYB>9U BA9AYNOUFPC MKKLCW> 
WIWBE>FC:@RH 181327/0904 ?@OPN I;;GFT<:RZB? H=XNYP T;XJA9V 
F<GO9KX7GUC<P I7IGO=HOWUW;ZD FFNWLO:SST<Q TYH>OLYP7DUPY LB77GE?OEQNOIJ PE=MM;C 
;OTTMA=<D=I :KDNDOH B8PTF<KC8X BQS8ND;Q B:PUS S<QC8IC9?IBK 
D:BFTZU?RV?T; :9MRTFR;KW7 XN>W?D BUD:I?FACC=L<E P7LLLZDZPHV; K7NC=9G;X 
V?AMLEEDB=M9F DW:EU?H9> =X?V:SX GABYEGOY E?FYS F?;D: 
8:YBEV> >;BKS=V:P< JSA9BHDK 8MX>P@FB DC@SM?7 YQ7EBKJXAXMS 
OYRGENC=>V8 =OOSRQ IGMLA=G8TKO? U=DQTBF<98T SXYHTQNPCSZX XB>?QMSICFJU 
NTFRRDL DRLMVF T7PN;:F=DD BN:>?V IFXYP@=VBDN?TS MJ>MOOR 
Z=QFUFY:R>GK IUA@XGK; >;AMRQZO; ZV:;JJ7Q ZEVWMXVU?BM? :?MELS? 
VTY?FVX R8>BQRK YW=P:OGOY ?MWCTA; QABSH?RJX;QZ; @P8@?R 
WFECZ TWI=;L PP:Z9I=TILAIU ;XZJ=P8>JPKZL 7WKGNVB@77?9D; I:<U:WA?O8@AC 
CR948JD KHDLZU>C;WZ<J@ ZWORUS? M=?CVS=K WLXV?Q G7OQYETVPW98XU 
>QUUVOCWFN CG8DEW@R?KCI OX9M>NYJG MF8HEG<ZNX7@ TZXUWZI SPI8DH9X 
@T8DPKT<:YGMCM S>PXCBIPVE O:C>I7CIXOV TEZIG@IR >LGYCDPKPAX@H @?@J8STX>;JBZX 
W@:;::SEE9NS TMSYFSFK>A @PTI9IMR<HKO CXT;TRHQASD VRDP:F<TJ?T> KWMJ< 
>LZVNV GF<ZSVP=JX ;VOAFUOH ?WRF8 I9KKGNOUF SEWC9LGJI 
IHQQQH@SIUF IU8@Z =KSB<CW7 TFOYC9R> :YRH=QW?CQIX <PCZBIAWITSA 
QV>DPFXDXVGNU LFGD9<U= Z>N:GZ<WDJ =T;VXFA S7L<QYIL<EV HDYJZLAQ8W 
=KVZTMM=;IFGM K<B9FFVV?TWK9; RINM; <CNPZU>M9BKQ 9WIIW@==FKWY @FE8QF:C 
RHSLU LD8S9 W9R=LCR:O V9Z=QORA ODDFI@>Z IV7IK<B7 
QKC<BPJJO8?OK OUOVYR@>D8JC X7GVK==BLCZZ KLCVKZULSS?S TQ>EQSAI K;KXPHT:GL7 
QSQWLUB:JV@O9 SC?LSD<P Q7ACNC>D<:UCZ RM979PP U:AQQK8OXI V=PVG 
DX>CIJ ?:JFU; SI:RGDNNBFHTK WXWCIL E8;QU=HKX< :O@JY:XO 
BRL@<@XJI87C EPV9V?XYIMWO7F FRLBGLDBOGOFJ SQ<HX9WR8U>:<Y RRETRLKSY: <OKTJVO 
HTBNFAG>9SP GXPFMGKM7 K8FXXE>EISZ< Q:<MYYFDUM? VBGHRGETE KI>X=T<U;T= 
S<9@9I79SW>EML Z@YNL; UEFYL8WC D:Q9M8A NLD<BQB<>QC @RNXMFTF 
>98=W <OKE@XUWYDAF7 SY@7VZR:M<T JA9TQTB S?@VSBNUYBGGM PXLVSSFPD< 
:8U7?KFXX78EK PEMC9QOUN KHN9G<EL 8FOGBZ7 >HCB>S <GZQK<VWVTEW< 
ZA468FB MLJ;W8NU7: LFEIEC?XSJ: QD=BL8<OGLH8 TWUHZ<M NNQS;?D?E9HB 
9CHCWH?G9 QW<N9T; F8CL=PIQ:Z DUPGLDY TDFS?RXY 7MWWRJVZKGVQR< 
7Z7ESAQNPRH@J @N;CWAH 7XL=<N G9WYIF=FU FRJUJNV9K78?Q LOAMUC 
<NWRPMT=QVAMAZ KJ9Z@@AWCR@WL S78T:N?PJS HUVCU H7VYDFKFX@BX IZ;8FJEN 
BQ7BL? KPNVAQG>?G>8AW TSKHQ:IY IHAEVKOZ: 7A==IPZAG L=W@;O9>SA? 
JBQNM LCX<QI:IG:9RT I9ZD>?<KN AENL8P>7?L ?OPKZYE; YY?ZOMP 
YGICMEU@H LDBA;X= ::A;U888AK8ZV KX8;HKX 8XONT S8TB<W> 
YHO78D=GDRYT> =TJILWAGH?QDZT ZIBW8:;N7U ALBQENCHD? XTWXE 888MEGN 
VADH?DTP ZPARXZKUBFEJ REWFCDCZDQ :>;:XODSIVC MRLTY= 7WBCHTYA 
7H<7ZM 8JWDGUW SWBGOJANJ9 CJ=X>XEXO <WN>DXA= EEACAUA>M9 
VQJLJASX9H JCO;97 GDH;8N:R JF<SSTL:GKZ THG:C@Q:K <H?<UEPEM;W 
XP<VYOF T@QUF;U@ 507201/1125 WVM?:;J >SVSZH NLY?B>OR 
=S=8P?MF;P B98XBJ=::=D Q7?9K8UXOVHJ MB<;B>LX7TN:L HA;IVXG PJZJR8IR7 
D<OHZNXF:ZKN WZ7MN@W ZVHIMUZML; I<:YIMZGDY?XWT P;V8E;7B=KVYUR G8EYSXYXKBL 
88A=WEOJVX:H IKJXUJU ?W9PTU<NH87LD @SHYYF?FEUSCGS YUS<A;NAQ;QBHE VH:?OHYF 
99XEUS?YMCU:N 7OKC:AP:?JSO QH@C= AN:I9?W:P 9SF?XWDIU8J?QM SM>T<RWJPJ 
IXUXY=NPY@UG Y@IUSLDULIWJ MG9ASUVHJ@S=< D8QPJAPWXIHJ @DFN8>Y8ON= VG>QVS 
XLLU> VUEDJXADF :>8@HRVMMRRUL YC>QTKMBW@FOGX SKXCS RGE9LU>SA:WLY 
O8MT99ZS?<I ;77VRORJRZ;P VPJDB<PY?Q:H KCTASVMR? 7SG@=T 7PBZ9XK 
W@<>ENM B?RUBTOB>U :YEEDI GQEXKT<APA>LD< D7ILKMVG=EHU XWHBC@N==MBR 
ZYIOV9R NYWOTOO S7YM@LWHT :=LAZS7S L>OUS@7W?K ;?MN8FW9@DJEZ 
CH<P:SBCF =KK<@;XXQ>=RT GGSX;IPM @MAKD>RKTAUL V?99E8P8UK ?P8SD 
BEN8DK= DF:J7AO:TO<?PQ EBQMZ<YU:; ?=J:O GTEMWTH8NC8 @GSOCV 
E7QMJD YPERA>DI:T@ D>:ZYMAB;? ;9FXVK:E C8TJNJG8U9JEZ> 9K;DH;WXA 
H?PLU?POU: >9QJVSAPT9UJJ? WR@=9FTE>L TP7O?PFZ9>R =QA?BHF=9DAV CXBOC@KEQ;:>> 
@HAISXRNUJAHU TM<@FG ZHGRQJ;<Q? YSEEY:TRI KF89Q SU060KN JNY=XBYDO QRATQ9TO NZZ=A OBMM@FI 173405/2514 9<PDZZVF 
D::>K?<LH?GNW ENLYPC 7?NMMKNXBKP NZ;:=QB HYZOO9UNU:S>ZI HX;=Q 
:ZEIY<WLPS <@Y8@PR7RW:FNH ;E>PQMQ GJB=DU>RFB<YB> X?S8;W;O9? 596621/2804 LLEVXWOQHFRM I=W;K VI>>SW=K?Q >DL8=EWH O<8VF TUTT;S;?=<L 
7ZPD:>RE> IH:D9:8D:GE:H6:6E <ZNQ;YJIQ>H IU<SB?U>VD B:IOY7 >G@DRUBQYOZ 
HC?SH>O< OYH;?G= R;VEO:;MQVYF >P=DZ7QDU MJTGO<EV8X NU=<=K> 
87U9DOKTA8BA= ?OUPO KNXSACN G:G=UQ YEX@7QPA: 8GIOOAI> 
I8SC@IFDRRFI D<QPFQF; 8HNZRH= BBGN7W@;DRT V:TQJDTNPQAFY CE?CEG?AZ:NXZ 
=BEMC@U<XMAN?P I;XVQ QX:@YE;8> HN9@;JJ;SSD :P>Y99 DZO=NP;8I<QLRN 
ODW=;>D DCQX@TLV7:BUB? XA?E<88 LM?Z: ;N9VD7STX? G;;EN9 
DKTWEGQ7FSH :KK>KTEC JQ97S=VK <@L>ZWW?WKFDZ RRDXJF BZGTGBZJ79H9O 
8O8MGIV< WGR:HCI ZYUA9ZZHYI? ASZ;PNMBE9V9 PCSCO?APZTAB BEK7AE:EF 
VG?DZ= HCS<L=SRMWPMCH >R78WTQHX9R C:RDDOMKX <VCWR89HEJ>APM AYRWWC 
ZDON<YT?OV;DE ?EMD9> ULWOULBNF8F OGYV<<SVW USNN7 Y<>K?:H<NN?J@8 
:QDMF QOIKHXONBB?O @W:IJ QGP<HV@ZJD<QJX K?BO>:TXAR NN=7JRZJ 
EENT@@JX RZYZDG ;TTZVC<N MSES:@S8LQIPI @<7;I K=?I< 
515428/1504 KSLEK8>> XNP9JCXXPV U9BGJ?O<PI9> <LOCY;?>ZFW HOP8; 
NWMYFFKXGHWF< IAVC:8X>C?P UZ?=U M?DD@O<;NJBBZ S8?TZIW?DL J<HX=88A 
P:>>7YK @OBO@PIP FOEFDMF7TF< DZ9O@VMCVX8@M GFJR;YU EPLJQ 
LMMBISEYWION I;A?WN=JOCHSF? :>AAQ=B G@OCS 7GLZ>IU> HSSNP9B99U> 
MPDK:AKNH @HT=L<<JBXDUX UC9>SR; VD>VX GNIO>C9FRH<:QK ?T:FN?@I@EJ 
TT>LSEY7BFU>F@ RMO9TMQKOYVL;H XQSQGL@UHN 78:UA> SRBCI A=<R8 
8?WERRGX QO?7DP8=QL7Q 9HVMW>7UDC U>QSVYBH YRPZ7ZS? L@J<HF 
VDMFW:7=NDK MIL9H:QQV==LJ <WGMF HO:WWU<DC< O89NID DLIF>C> 
LQT=HCA HJQ9IDM M<HPWYGESSU>PK E>Y?ZHML W9UAXIHS >=@BS<C7GQ 
CX?DBID XJP?9MEB ACHGVQS;N:LC 9:9BBG<ZKW OI;F; H<>O>Y8 
8GVU;WWKBS@?I= YGWDJ; P@KMMBUW9K<8SG AWGUF>JV;J 9TNNLKJIJ:D VHTPX8TJ> 
GGEPSZ;M9 HGS9V7 <P8P><; Z7V8FI9 8GHF9JW@ ?PZ@BH? 
RBFCNY=;@?U: HRSST;<FSHS? WVSM=>IJ LKTLHG<= YQZTGOY R?@SJBB 
DON9?7 ZHUG8AX;<<G:NP GYGY9WXPP<K7EZ 87DBXV>:T I@A<WFRPC K8A;99X8@ 
ETEQ@ZJ8>RFD< PPKBT; U>C<OCIBM 9K@B?VQWW@ YGS9RSDSU <W;YD8 
ENAUBUK UR?Y8;ZFY :S7MRO<UQYN FAG;S7SDJ ?9JK<?JK<I@H: 8=IS:? 
?OK8YER9I >BM=PYW MAGBDLPSJGWE8Q MBP77JT >7VARX=7QLCWS QJ;HRKBAT 
YW301TK WOF8DSUM8?;WTW W9R=AKWP8Y Y8?TFY<7FH <<QKI9AO XS;RR?VF< 
VNTVDM:PRAM?ZH NF7MDCOO O@>?H@ VEL9B@>7XDZ?8 K;JQJ RP=W;FMDE 
<VOQIKXK>?? KMTFH OK?SV:RB;IKTJT 7Z8?FEFVSNW TERPA; >HCZTIF>SVBWY7 
887LKCWNEUT7 T<NED @7IA?>>LWQ MDHRUOPHXJJYX FZG8BJUA? =UKCSGPYJP<C= 
FNL9V :7ABE?VMRZG> SITAH NHOBR? =UB:7DM OJ<8D 
PYK<: :IPTDSZVG H:?G>8 IOMHL@ACX9 89;Z9N MHZNZJ;T7AFAX 
V::KKOD TZGE=K X7>OW: CQG;@WI ;7C:8QHB=@ <HLSANW 
8J>I=Z NU<S?S9I<==ZQ M?YGPUYYJVE GTBAN;KCJTQ8 IZXNUEB LFWT=PDH 
Q7FRFUQJO J@WBELF;O@ AM9GH>K;T=9NTN T=UNA Q>9YIB=Q PC;QR@R>Q 
O8@8;F9?><M>I> WM8QAHOK=SA VR;S9RZIYVY A7O9VGQ H?@R>8;:N ABWE;7M 
EAJPHKUNNX NBA<HGAAQJG@S C<ZLOSD9TE<EC G@WC=VME:Q <<W<G:OP>NJX SQ@JGF>N>UW 
N?S9SIISBIFQ;K ERM?ZGD<EIIV MKHTSX 9QX?Q BRU=?;MXB<O JK:9=IOZFMZKF 
NUDX;ARVL Z:9IDO WOCFS=A:VJ@S S8WGT PZ=AMWV7KQ<P >;7P:U 
OGX>:L;<DOMVY =BJE8>JOZ KUBIQ?BGBNL;QB CGFVCRZDTVJ UODMVV7 O;FL?OY9T 
?IX?IMBA ;@QDD8R> @ESUT?LJMWUIQD 7><?8KIVD BCP:RMLSFCYP SZ976TK FNSBO;@ AMM=KR=IQQYFV C>ON:GBQ98H9M DFDRBT=K CKGNO8F XU=PB 
UZ;W8<S:N? DXO8:XD< RP;@LFFYKK M9<RBWE=RMX FET?AOW <TZNBFMI 
JNOMK?@EVTIVO 977S8CH ?VLE8E8 FMOYNW OGYOALSBOX DN;G7Q 
@FGC<WAW Q8RSCB;HFV9I N7VZMPY9AK: KFLIWHEVWQ JOLBBILTW>KP<? W;IQ=ZB 
XJM99MNA< 8=CUT9CU8TA GSQ<A9TXJDB COT@TC;F XOIRD?PBKXI:A YTZL8XAGCQK 
H9J7O7=Y;7MV=S ?YJR78 HLHCKL9E>AE?JS M>7SAU9RFV: KVTV>WICQ BAJC9ZIR< 
UKVWREA 79<;ZWQ9 :VWX?LMS ;FNW;:DBYOZZX7 ADMVQXSO EE<J>HY7 
DJIM> O=WO<RS<R 8UTAYME8Q9 JVOTP8>WX@S8W> QFQ9RNLN:> 8J=B8V9D 
W7:Y?VOCJY Q<9U?:W<;G :?LB?>;YO9 LIWWGBSLJ?@ G:ASMX ;LCVJBPQKU 
8G?SZ= =;HVTOUTBV;PH CVBSA 8DZ;NIZXWKF>T G9NASVTCGIV= @SIUBWH7VBZZG 
QHSL< C>TKZTTD D?7N:LYKB? N>>JWMAYC7DK< <L<?D HU8VQ 
@?R8U9VTWMJ D:AG: N<DTBZZCCAHC?Z THMLVOPY ME=P<YB<@P:Z< JX7U<ND?FZ<DAK 
PC:BHFH 77T?PTAO7 =VAVA8NPUFAMMX 7U:SB?B<@7DN@ RC>=?>G;P E<NUUWGU8:QJWK 
YL<KVUSHO U>PIWSF @=<HZ;I:T Y98?LG7GCV@RR :;V<OZ<TOX8DU NAVIQV><R 
Y=E>O B7WQRP PBOHT A9YB><8MN8OID J?ZDBCQB?Q Y8TXEXZ@ 
ZZLOIHL=XZ 8?9KRAB8RF: B;MHG8COTWR9N ;>@9?A<8E@QES FJADD;K@JXS ;7F7DJ7V=9BMY 
GD:G2:3C:BB:B1:9C BREE>:WKP =NBRO<MGFF XT@M7P@ E<7KFZQPO ?L<WL 
G?YNMJ >FK8M=>Z ?YE7B 9LIZU9PJNSLY RU:RRTSW? K>SFB:KBCAA=< 
CQ9EUY;UQSY=U SU?Q<:YQ><MA BGTJ;LLN EQRLS;MRJRM:@K RXZ>L:>L7<AQ HYN:ANHH8U; 
YRA>PRYU;P<RPM TH<KMR>E 8;>V7M?BVAV@LL UT8ZC;SA 9LW@PD? @WKL7LH8W8A:C 
B9VTU9GCVRMI9; ?D7KG CQTY;MC8X<I <VRHLU:ARZQ U:7W9>C;DJF 79EFBK;VUA<I8U 
UM>D9;LD =CEV?FT@YKVC LWWDU<LE7 AK8KWT<;@<GA PIN9EP=S=<H@ ?WG:>XNM?ZOX 
KPTG:YW>N:PCP :FQWIE@@R:>8IJ QVXMCV:VY9 NU=?7UH9LN NURLPGPUEJAJQO NLA<R 
PE8WLNQE 99@MPPPZZMFRZN DKH:GCWM QR>::7DR VV=7KLFW7 FIDC;HDVQ 
QJUFGM@>W9G 99LNT:VBJQ> LVIICZMN VVYVWZRU>IA@N JND<R:>>JL;K KB8ODY 
F<H?JITVX<9=I @;LFKDH :NDM;G ?;INI9XI:YO UC>YGO =<XKHH;XM<PL 
UJO<WCNSIH H@?DIJD@ JU88IB<BT G=<7G7 HD>XUFKGN RMF<?EIJIA 
?DO;9SMN<RACDR CSSJ;IVE<8H K=:8:F=7<KWUO XT?L@>>X ESADLO:U >YOF<@PCR<AM 
>IR@<>BX> =>Y@WJVZ;Q8 G8W7<GND YWS9?LMX9 @@BEI K@<77B@O 
Y>JPDLOW=?OG=D :=BQC 8JW<8:VBD SPW9<@CK? W<<DRZW>NL HAVKXMW>LI 
9OCYM?JOPIL9N JPCCQLC KE9V<NDXHE: E:Y;KV?I9: Z98WQV@VZNKLMF L8VU<MPIO8K 
VJM=7MX;7 J<LQLPSZ;<WYQT PJ>R9VEUEHAE EBEWP Q;8:BS:KSHU U>KVOF@OJ>UQVN 
LDWKBJZKCS JGNW8?AJY?CUL RUYSJEX PK=GDTT>@ KJ?OA@>O I>GRLXF97HWLZ: 
JR9WIQ:R EXY;W7NQHCFRJ RGN:<MB@P9 GHC7Y= AHJLKE NL=;NG8PYBCY@K 
GHXG8QVCWORUQ ?QDOM;M B9L:ILBDO9H FT>?E OBGSRFP?8 >?DV8URZ7@OFB 
G9;VS 8KSRIMR=:U UMRI?PHY; US8DHVQNHS M8L@V M8IO;AYY>J 
D9F77:= 9HXM:HPMTP8V9K FZJRXCOP =8=CDWBL TBF7@ ?QNY98: 
FNL?9UJH< YA:FNJZE<XUT< NXCHB9K;>=WYZT XLJB=:KNYP WBD8GDJ 005027/0118 9408181719 @E9XIJL9@BZA= DP?G:@DR A7QZ8XKG@ K<9@JHV> SOEYJVL>@D=?O 
=XAG?STX9CPER EURUIBQIGB7Z VKISPBY<I:D <TWUPAQAWVYD ;G7J;IO> GORSYU;BWPFMZD 
UC9N8:? LAD@VZPUTH @;7V:UT PLTKRCZR>E@ IHPZ?:?8Z D9SB=HQ<DRNDKN 
@XI9FK8Q@URGSQ DKN9TYCJ@T; E@PC7 OBXCWV:? SDU<E;ZOFR< YTYF7EFC;T9 
BPMS<FA:7X>?I Z7BMNR =RSY@LVN@EH 7UZI8VNC<7>I 7;WYK= ;ZYBUQDDR:R7 
CPTI>S7ZOXOUU <AZ=Q;ZIVF;QY IORRBSW ZJ;TVI@TFFTS;8 AH:D0:3H:CC:A6:9D 8NLN=M 
=ESLS>CQQY>B R@WG@@EYSAOT BEEBK=?Q8 =?GORZNBXQ ?7U;MF>DMZL AKAWOJ 
C<L?U =UC?= ;<WJT7VKLRSS 7RPSSQ;C?;YTF HLQ@NWAF O<NPMZH=?C 
V@Z@XX:MIPR9M 6173220319 ;L@9EMGXMK?YTH L?7M<MLM; 9>9:E QASHGA 
<IAK?PI B;PKMNCFV ??BQP: YMUAEOLLX H<WFT7MX7?J MNBS8X 
G:<SXDE7PU >BW@O;LHL98C9 ?J;T>YMCICE7 RO7I==ZVHE OG9UDL OGJCR>7BL?9? 
:KLKMR7RXI IFCQRY N?GMUKV=WGY@= H>?N9PA; ID:H7:1H:EC:F9:9D K9CUEZ;KNF 
8V>ST J8ZQPZPZY=NFBF 7GZVA :<P;LXD O9SBS >DHGK 
UYS?EH?TA=XD <I<NQCGA NUP<IU;B@KXI >N@@ZO=RRKJ=< ?AWWWKMRF; FC8UEVO 
ZDT>:VBN9 CR@SVT??=AKVHD FH8KG?>KHHGUSM S@:DE; G?YH8GTG VWL=@OL 
9YH:CK=<AGB 7VI9NPB8WNH >8YIBPOWGAEJ=A QLU:HPVXI 8<=QJRLD8I <S98;X 
T>?V99CMXV LUWF=QF LKCX<LAXJD NHZ?PYR9@<JAQ Z9SQZ8KSSAPRC? @SOF@TR 
HKOZL ?RSSYQT V9NJWOT:=E@ VP7>AA< UDZN8T=> E?<CWJE 
;787F:T>J? IB8HJJ9C> BIP;P@QLT ICSNNA J:DA7BPTZXYK= JQY?FCQ 
P=VEHUK=IRS OOR8T<X?8O @G8<JL<= VA:PK MA=;98T7@MX HIZ<R>NJII 
>IMANS=TAGALAG 8S<CDIXE7CJLE8 K99QFTVR>9AJ9O XISUUGUC =KDSWB @MCHJF;F 
F?FXF>7JR=H;<C A@9WA LLK?X?FR@<;O HPKWPK7@DG J?IM@C CT>:TIK8ELC 
>>@X;HYCR SZV8SS<W@PYLVT F<NZSC7P@ LPMZN9Z=CB:O 9QG<XPN@RX7IZ J<H<U@L<XC8XDO 
;U@?ON U<:FVI J=9GUTQ>NL>NDL X=QP? JPD@9N?=JQ U<:;K7D 
XPU@F>TL AAHK=KWD KIV?A< X<O=J7 ?;F<AKTSB VJ@GNT: 
9SVJTHU<; XF>>ZH CC;TFOVT7K7KK Q8KUSJ?X@ KYSZMW<IE XPSJE 
NM:LJV8 <ZGGYQ M>SB9 79Q?SF WOPEFWZQ D=D?A9AT>LNJ 
RH@K=E>@ DNJR? :LIBYZ? DWOJAHTYP7P8B BU>9=N8OQSNQN AIYX88IK7>JQFP 
GJ;=SRO9CBD R9?PA9EC?I8<G I8CPTCL JOZ?<O>GHBBO M@IFBXS >OV9E8PD@VIP 
DS<YXTY EBXD8O BE:SVT7?P>G J?WHY8XS9ROPMR EJ8;DSXMUSV: 8X?8:OKY 
@@;FQY?A9Q9Q=G MQ9M>N J<B=?E EDCQDV7PA YNWP8GQXB >F=7MFA8A 
8OU?L ADC>D <;;=9=TT9= GQJDX?GDCS88D OJSK7?EUAO=AO ?INHFH;DZE<I 
?BGWZXT<VRC :K@ASVAZ@= EYSO@BWHGGM: JOJZZ?XIA? WVRFSG==USN ;8:S89;SM99ALI 
VUI<Q@?=IE NW>VGY8 PEGGWXC V:MYHTS I@WYIDN7=< I<RSQ7;;C7 
JJF?;XZ>:OGGV B?A@9RN SITW?8T7DNZAKU ZEXWJPB=<XV9M< :ZCD8JX;LGN H?>ZURS@P<W7E 
DJ>ZCTDCEWH= IIOC?L:ZC RR?TGZRF<:R? W>IQIT;BZFDBSZ <ZUKKT> LFVLA7 
Q>OWIZT7:L8X>H ?LW>G =HMZW E8YUVO D;R=CNFJH9F @Z;PE<?P= 
F7ZPCQ M>@R>H?NTQ;I 9UGE<ZGV>KK=IL :VPX<N<: LTYT8ZC9 <RTAWR8B8VJQ 
?>X;RQ: 88TPBVA @OLIZUCSFY>@ CDZKQ88XV7ME <SGX8JPP9BG99R P;TCX9 
TO<8UU=SZFU >FOQBNLXZPC MCDLTPMCVIN :QBBRS=XJ PW7MV8OC:GK GZ?RFPCJ 
CMPQ:7Z7 ORM@H<DBL KIYJHBYTRFU: ?K7NOEJ;IAF RWAPS8 GOJEDQ 
DVT<BMI? =D?RBMB UJ8PX SH>>CDQV; ZVK?X QZZ;DE@DY9@BM9 
8JSERU>OB@S7 BQYLB ;DXVBL7 =<Q;<KLCED:Z>G GBUFQP=AKIV9L JSC?G8>9BR 
<IHDJAWNH DVQ=F@ B;<XZCXK Q@GSSX?Z< KYJDFJ NJ9GLDJMM9D7P 
YAP9AJ9SQHEW? OO;8H;=GV 9PO;:SH ;VY:U:X?L KXRYM QLJ?YABSS7 
9DR?IAK@?@>L;Q TB8:H7;H YR;UVXV ?HDRX GON<> @E>D:QY@I7M9 
FKBV:I=8 J;G:XTR?E= SCARNI=U KWCUP F>=IRPL SHT=V8SJTZ==RR 
IGYOZ7FZBJ VC79GW 9;S7ZK:9DLRZP JJNK@;<DRVUYEY Y<D7F@VPA8BK> THHDJG:C 
;<VM>MRV NAXOQ<J;Y8A S8GUL@ =8X@QBD7?S<ZEG FDP?GXTL8@X H<;M=Q 
KQHIGNF CZH:P@8>?XRP?S PMJC@UKMNIMWI CYNCYTZV<@E W8PNMM I>:77I< 
8NTZEG;?X;T QPIKS9RBMQUV NG>;AKA;C BAQPH:PZBV7 HT=DZIJAAA BDP8;J:JL>@XX 
YH?FK <DKEEZ7VVECI7 BPUX<MP;8Y >7KXL7 QBWGRUQHH;Y CHK>YPH 
8BPR>97 K>Z@LF A7FAPDVS= EU?MPFAFI 7ACXJTM <FR;DCWZP 
NUZEL>U8= 7V@U>ZC>HBJMZ :IWWY HUYD;7 H9>H?H@9ZVV 8UCE=Q 
A7JKG H?JFK8WXJ<GBY RKXTHUTP U7@J@E;F C:SOBMZ ZGYC7>H 
?@:TUBTQQ>F7B MP?IUX>W<?ANTO ;RVIM ORKJU?===Y<@ FOLWGJA:TOQ7UH MK9MC?RQ9 
ZDUBBWR?AEAG9 AKTOO ZB?TV 8=NZFIM HL=;9KV E7<LGI 
5963000628 SRCL=RIBY=AF B=M;DX8K Z?B>QZVEH:M QL;7<@9@CPNC :XLCFD<ZY9 
